"","X","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"6118",3479,"EPL",0.168539325842697,0.5,0.733333333333333,0.4,0.805084745762712,0.835616438356164,0.683333333333333,0.522935779816514,0.204081632653061,"A",5,3.75,1.7
"6122",3483,"EPL",0.146067415730337,0.4,0.666666666666667,0.263157894736842,0.466101694915254,0.356164383561644,0.283333333333333,0.715596330275229,0.551020408163265,"A",0,0,0
"6125",3486,"EPL",0.123595505617978,0.2,0.266666666666667,5,0.669491525423729,0.589041095890411,0.683333333333333,0.513761467889908,0.469387755102041,"H",1.22,6,15
"6137",3498,"EPL",0.0674157303370786,0.15,0.133333333333333,1.21428571428571,0.432203389830508,0.328767123287671,0.366666666666667,0.504587155963303,0.551020408163265,"A",2.1,3.3,3.6
"6141",3502,"EPL",0.146067415730337,0.3,0.533333333333333,0.833333333333333,0.483050847457627,0.36986301369863,0.416666666666667,0.568807339449541,0.714285714285714,"D",1.57,4,6
"6148",3509,"EPL",0.112359550561798,0.3,0.466666666666667,0.777777777777778,0.423728813559322,0.383561643835616,0.433333333333333,0.302752293577982,0.244897959183673,"D",2.25,3.4,3.2
"6160",3521,"EPL",0.303370786516854,0.75,1,0.0769230769230769,0.567796610169491,0.520547945205479,0.45,0.477064220183486,0.530612244897959,"H",7,4.5,1.44
"6163",3524,"EPL",0.269662921348315,0.6,0.533333333333333,0.6,0.576271186440678,0.561643835616438,0.533333333333333,0.44954128440367,0.448979591836735,"H",3.75,3.5,2
"6164",3525,"EPL",0.101123595505618,0.1,0.133333333333333,2.125,0.398305084745763,0.273972602739726,0.383333333333333,0.495412844036697,0.408163265306122,"A",1.67,3.75,5.25
"6168",3529,"EPL",0.157303370786517,0.2,0.733333333333333,2.2,0.449152542372881,0.342465753424658,0.366666666666667,0.486238532110092,0.244897959183673,"D",1.44,4.33,7.5
"6169",3530,"EPL",0.0449438202247191,0.15,0.133333333333333,20,0.601694915254237,0.493150684931507,0.4,0.55045871559633,0.428571428571429,"H",1.17,7.5,15
"6174",3535,"EPL",0.157303370786517,0.25,0.333333333333333,0.631578947368421,0.601694915254237,0.479452054794521,0.483333333333333,0.513761467889908,0.612244897959184,"H",2.3,3.5,3
"6180",3541,"EPL",0.179775280898876,0.45,0.2,2.5,0.5,0.493150684931507,0.416666666666667,0.577981651376147,0.428571428571429,"D",1.44,4.5,7
"6187",3548,"EPL",0.325842696629214,0.4,0.733333333333333,0.133333333333333,0.644067796610169,0.493150684931507,0.633333333333333,0.559633027522936,0.204081632653061,"A",6,4.2,1.53
"6188",3549,"EPL",0.134831460674157,0.3,0.333333333333333,0.714285714285714,0.584745762711864,0.506849315068493,0.5,0.724770642201835,0.326530612244898,"H",0,0,0
"6206",3567,"EPL",0.292134831460674,0.55,0.6,0.666666666666667,0.516949152542373,0.438356164383562,0.233333333333333,0.36697247706422,0.428571428571429,"H",2,3.5,3.75
"6212",3573,"EPL",0.168539325842697,0.1,0.4,1.77777777777778,0.432203389830508,0.424657534246575,0.433333333333333,0.311926605504587,0.204081632653061,"A",1.36,4.75,9
"6219",3580,"EPL",0.247191011235955,0.35,0.266666666666667,1.83333333333333,0.508474576271186,0.534246575342466,0.583333333333333,0.495412844036697,0.244897959183673,"D",2,3.5,3.75
"6222",3583,"EPL",0.224719101123595,0.15,0.266666666666667,1.08333333333333,0.389830508474576,0.328767123287671,0.233333333333333,0.541284403669725,0.122448979591837,"H",1.53,4,6.5
"6231",3592,"EPL",0.471910112359551,0.7,1,0.1,0.601694915254237,0.506849315068493,0.433333333333333,0.431192660550459,0.244897959183673,"D",5,4,1.67
"6234",3595,"EPL",0.168539325842697,0.15,0.0666666666666667,4.5,0.483050847457627,0.383561643835616,0.466666666666667,0.477064220183486,0.346938775510204,"H",1.44,4.5,7
"6238",3599,"EPL",0.337078651685393,0.15,0.266666666666667,0.315789473684211,0.491525423728814,0.452054794520548,0.416666666666667,0.568807339449541,0.448979591836735,"A",2.2,3.4,3.25
"6252",3613,"EPL",0.280898876404494,0.5,0.6,0.473684210526316,0.847457627118644,0.73972602739726,0.633333333333333,0.385321100917431,0.285714285714286,"A",4,3.5,1.91
"6253",3614,"EPL",0.325842696629214,0.35,0.466666666666667,4,0.305084745762712,0.328767123287671,0.383333333333333,0.477064220183486,0.653061224489796,"H",1.29,5.5,11
"6258",3619,"EPL",0.235955056179775,0.25,0.266666666666667,2,0.516949152542373,0.424657534246575,0.366666666666667,0.559633027522936,0.36734693877551,"A",2,3.5,3.75
"6262",3623,"EPL",0.247191011235955,0.35,0.6,1.44444444444444,0.508474576271186,0.534246575342466,0.433333333333333,0.513761467889908,0.285714285714286,"H",1.4,4.5,8.5
"6264",3625,"EPL",0.202247191011236,0.3,0.4,1.0625,0.466101694915254,0.438356164383562,0.45,0.477064220183486,0.163265306122449,"A",2.55,3.5,2.9
"6269",3630,"EPL",0.438202247191011,0.5,0.866666666666667,0.157894736842105,0.957627118644068,1.0958904109589,0.933333333333333,0.467889908256881,0.285714285714286,"D",4.5,3.8,1.85
"6271",3632,"EPL",0.426966292134831,0.7,0.8,0.5,0.788135593220339,0.753424657534247,0.616666666666667,0.467889908256881,0.326530612244898,"A",4.33,3.5,1.95
"6284",3645,"EPL",0.382022471910112,0.7,0.666666666666667,2,0.559322033898305,0.616438356164384,0.35,0.339449541284404,0.26530612244898,"H",1.91,3.6,4
"6288",3649,"EPL",0.303370786516854,0.2,0.266666666666667,1.83333333333333,0.525423728813559,0.452054794520548,0.566666666666667,0.504587155963303,0.469387755102041,"H",1.44,4.75,8
"6289",3650,"EPL",0.235955056179775,0.4,0.0666666666666667,0.941176470588235,0.542372881355932,0.602739726027397,0.366666666666667,0.568807339449541,0.408163265306122,"A",2.9,3.4,2.6
"6290",3651,"EPL",0.573033707865168,0.55,0.8,0.1,0.720338983050847,0.684931506849315,0.516666666666667,0.568807339449541,0.653061224489796,"D",7.5,4.5,1.5
"6296",3657,"EPL",0.258426966292135,0.35,0.466666666666667,15,0.415254237288136,0.424657534246575,0.416666666666667,0.44954128440367,0.285714285714286,"H",1.25,6.5,14
"6304",3665,"EPL",0.303370786516854,0.25,0.133333333333333,0.65,0.398305084745763,0.287671232876712,0.316666666666667,0.376146788990826,0.326530612244898,"D",1.95,3.6,4.33
"6305",3666,"EPL",0.325842696629214,0.35,0.466666666666667,0.611111111111111,0.398305084745763,0.438356164383562,0.25,0.467889908256881,0.204081632653061,"H",2.5,3.4,3
"6306",3667,"EPL",0.382022471910112,0.35,0.6,0.571428571428571,0.567796610169491,0.520547945205479,0.383333333333333,0.458715596330275,0.285714285714286,"H",2.4,3.4,3.2
"6311",3672,"EPL",0.235955056179775,0.35,0.2,6,0.491525423728814,0.397260273972603,0.45,0.495412844036697,0.244897959183673,"H",1.36,5.5,9.5
"6318",3679,"EPL",0.337078651685393,0.2,0.266666666666667,0.611111111111111,0.542372881355932,0.479452054794521,0.6,0.412844036697248,0.244897959183673,"H",2.63,3.4,2.88
"6319",3680,"EPL",0.471910112359551,0.35,0.6,5,0.559322033898305,0.520547945205479,0.65,0.422018348623853,0.204081632653061,"H",1.75,3.9,5
"6325",3686,"EPL",0.471910112359551,0.25,0.4,0.461538461538462,0.576271186440678,0.547945205479452,0.65,0.440366972477064,0.204081632653061,"H",3.8,3.5,2.1
"6326",3687,"EPL",0.730337078651685,0.4,0.866666666666667,0.05,0.466101694915254,0.479452054794521,0.433333333333333,0.596330275229358,0.326530612244898,"A",7,4.33,1.53
"6329",3690,"EPL",0.550561797752809,0.6,0.533333333333333,1.5,0.703389830508475,0.63013698630137,0.45,0.495412844036697,0.36734693877551,"H",1.95,3.6,4.33
