"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"1517","SPD",0.257731958762887,0.307692307692308,0.4,1.27272727272727,0.591666666666667,0.423728813559322,0.529411764705882,0.801418439716312,0.348484848484849,"H",2.2,3.25,3.2
"1518","SPD",0.34020618556701,0.192307692307692,0.466666666666667,0.722222222222222,0.65,0.355932203389831,0.490196078431373,0.432624113475177,0.5,"A",3.2,3.25,2.25
"1519","SPD",0.484536082474227,0.307692307692308,0.466666666666667,0.272727272727273,0.733333333333333,0.542372881355932,0.666666666666667,0.645390070921986,0.742424242424242,"H",2.8,3.25,2.5
"1520","SPD",0.680412371134021,0.538461538461538,1,0.166666666666667,0.666666666666667,0.559322033898305,0.568627450980392,0.418439716312057,0.575757575757576,"A",13,6,1.22
"1521","SPD",0.34020618556701,0.192307692307692,0.4,14,0.558333333333333,0.338983050847458,0.686274509803922,0.439716312056738,0.560606060606061,"H",1.13,8,21
"1522","SPD",0.247422680412371,0.230769230769231,0.266666666666667,2.11111111111111,0.533333333333333,0.355932203389831,0.431372549019608,0.659574468085106,0.575757575757576,"D",1.36,4.5,9
"1523","SPD",0.247422680412371,0.153846153846154,0.0666666666666667,1.2,0.383333333333333,0.271186440677966,0.490196078431373,0.609929078014184,0.742424242424242,"D",1.67,3.75,5
"1524","SPD",0.45360824742268,0.538461538461538,0.866666666666667,0.833333333333333,0.591666666666667,0.474576271186441,0.627450980392157,0.432624113475177,0.393939393939394,"A",2.38,3.25,3
"1525","SPD",0.412371134020619,0.230769230769231,0.6,1.75,0.575,0.372881355932203,0.568627450980392,0.567375886524823,0.439393939393939,"A",2.1,3.3,3.5
"1526","SPD",0.288659793814433,0.192307692307692,0.133333333333333,1.7,0.533333333333333,0.338983050847458,0.392156862745098,0.659574468085106,0.560606060606061,"A",2.1,3.4,3.4
"1527","SPD",0.402061855670103,0.269230769230769,0.466666666666667,0.4,0.658333333333333,0.508474576271186,0.705882352941177,0.617021276595745,0.575757575757576,"H",4.5,3.5,1.8
"1528","SPD",0.515463917525773,0.269230769230769,0.733333333333333,0.1,0.541666666666667,0.440677966101695,0.549019607843137,0.560283687943262,0.393939393939394,"D",5,3.4,1.72
"1529","SPD",0.371134020618557,0.230769230769231,0.466666666666667,0.8125,0.666666666666667,0.355932203389831,0.490196078431373,0.453900709219858,0.5,"A",3,3.25,2.38
"1530","SPD",0.391752577319588,0.192307692307692,0.266666666666667,4.5,0.475,0.338983050847458,0.509803921568628,0.524822695035461,0.651515151515151,"H",1.11,9,21
"1531","SPD",0.329896907216495,0.192307692307692,0.133333333333333,5,0.533333333333333,0.372881355932203,0.372549019607843,0.51063829787234,0.303030303030303,"A",1.67,3.8,5
"1532","SPD",0.77319587628866,0.576923076923077,0.733333333333333,0.166666666666667,0.841666666666667,0.779661016949152,0.725490196078431,0.602836879432624,0.515151515151515,"A",8,4.5,1.4
"1533","SPD",0.319587628865979,0.192307692307692,0.2,0.888888888888889,0.475,0.288135593220339,0.568627450980392,0.418439716312057,0.666666666666667,"A",2.1,3.3,3.5
"1534","SPD",0.257731958762887,0.230769230769231,0.666666666666667,1.05263157894737,0.45,0.23728813559322,0.333333333333333,0.546099290780142,0.590909090909091,"A",2.1,3.3,3.5
"1535","SPD",0.402061855670103,0.269230769230769,0.666666666666667,1.125,0.466666666666667,0.288135593220339,0.333333333333333,0.539007092198582,0.393939393939394,"H",1.62,3.8,5.5
"1536","SPD",0.381443298969072,0.384615384615385,0.4,0.785714285714286,0.65,0.627118644067797,0.549019607843137,0.631205673758865,0.454545454545455,"H",2.1,3.3,3.5
"1537","SPD",0.45360824742268,0.269230769230769,0.6,1.25,0.483333333333333,0.406779661016949,0.431372549019608,0.574468085106383,0.545454545454545,"D",1.62,3.8,5.5
"1538","SPD",0.412371134020619,0.384615384615385,0.466666666666667,0.411764705882353,0.483333333333333,0.423728813559322,0.431372549019608,0.631205673758865,0.484848484848485,"D",2,3.4,3.75
"1539","SPD",0.257731958762887,0.230769230769231,0.466666666666667,1.25,0.425,0.220338983050847,0.411764705882353,0.815602836879433,0.848484848484849,"D",2,3.3,3.6
"1540","SPD",0.371134020618557,0.307692307692308,0.533333333333333,1.3,0.441666666666667,0.254237288135593,0.470588235294118,0.588652482269504,0.560606060606061,"H",1.73,3.6,4.75
"1541","SPD",0.329896907216495,0.153846153846154,0.333333333333333,1.06666666666667,0.45,0.254237288135593,0.352941176470588,0.560283687943262,0.5,"H",2.1,3.3,3.5
"1542","SPD",0.371134020618557,0.346153846153846,0.4,2,0.533333333333333,0.457627118644068,0.509803921568628,0.468085106382979,0.46969696969697,"D",1.91,3.4,4
"1543","SPD",0.257731958762887,0.230769230769231,0.266666666666667,2.22222222222222,0.583333333333333,0.423728813559322,0.529411764705882,0.638297872340426,0.484848484848485,"H",1.73,3.5,5
"1544","SPD",0.443298969072165,0.230769230769231,0.533333333333333,0.5,0.583333333333333,0.389830508474576,0.490196078431373,0.560283687943262,0.378787878787879,"H",2.05,3.4,3.6
"1545","SPD",0.742268041237113,0.5,1,0.111111111111111,0.8,0.76271186440678,0.627450980392157,0.375886524822695,0.363636363636364,"A",19,7.5,1.14
"1546","SPD",0.43298969072165,0.346153846153846,0.6,0.727272727272727,0.708333333333333,0.474576271186441,0.568627450980392,0.425531914893617,0.621212121212121,"H",2.25,3.25,3.2
"1547","SPD",0.43298969072165,0.307692307692308,0.6,1.4,0.666666666666667,0.423728813559322,0.784313725490196,0.624113475177305,0.393939393939394,"H",3,3.4,2.3
"1548","SPD",0.350515463917526,0.230769230769231,0.4,1.23076923076923,0.541666666666667,0.338983050847458,0.549019607843137,0.418439716312057,0.606060606060606,"D",1.83,3.5,4.33
"1549","SPD",0.494845360824742,0.307692307692308,0.333333333333333,3,0.791666666666667,0.559322033898305,0.764705882352941,0.546099290780142,0.681818181818182,"D",1.2,6.5,13
"1550","SPD",0.237113402061856,0.153846153846154,0.466666666666667,3,0.416666666666667,0.288135593220339,0.607843137254902,0.74468085106383,0.484848484848485,"H",1.75,3.5,4.5
"1551","SPD",0.257731958762887,0.0769230769230769,0.0666666666666667,4.75,0.3,0.220338983050847,0.450980392156863,0.680851063829787,0.787878787878788,"H",1.4,4.5,8
"1552","SPD",0.43298969072165,0.230769230769231,0.666666666666667,4.5,0.433333333333333,0.23728813559322,0.352941176470588,0.609929078014184,0.393939393939394,"H",1.06,13,26
"1553","SPD",0.43298969072165,0.269230769230769,0.4,1.33333333333333,0.583333333333333,0.474576271186441,0.588235294117647,0.567375886524823,0.515151515151515,"H",2.5,3.25,2.8
